,tickets_id,drawing_id,line_id,bet_type,numbers,numbers_list
11128,5ef85e80eaf7fe002c77edff,polishMiniLotto_3892,2.0,NORMAL,"11,19,21,33,39","['11', '19', '21', '33', '39']"
1547,5ee855b9353c30002c7f4b65,polishMiniLotto_3892,1.0,NORMAL,"9,11,19,33,42","['9', '11', '19', '33', '42']"
7553,5ef7bfcffd324f002ca878b1,polishMiniLotto_3892,10.0,NORMAL,"9,11,19,33,42","['9', '11', '19', '33', '42']"
22232,5ef8f1a7b546c5002c36940a,polishMiniLotto_3892,2.0,NORMAL,"2,11,21,33,42","['2', '11', '21', '33', '42']"
17800,5ef8c2d828be7f002ce1d1b3,polishMiniLotto_3892,10.0,NORMAL,"10,19,21,33,42","['10', '19', '21', '33', '42']"
