,tickets_id,drawing_id,line_id,bet_type,numbers,numbers_list
46,5677e9d5e4b0ca58d561dea9,polishMiniLotto_3892,1.0,NORMAL,"7,11,20,25,37","['7', '11', '20', '25', '37']"
47,5677e9d5e4b0ca58d561dea9,polishMiniLotto_3892,2.0,NORMAL,"9,17,23,27,33","['9', '17', '23', '27', '33']"
48,56958455e4b05fcd6662ff36,polishMiniLotto_3892,1.0,NORMAL,"3,9,10,20,34","['3', '9', '10', '20', '34']"
49,569813efe4b09b3226f2cb8d,polishMiniLotto_3892,1.0,NORMAL,"17,19,24,34,41","['17', '19', '24', '34', '41']"
50,569a6de1e4b01a5af0926a11,polishMiniLotto_3892,1.0,NORMAL,"1,3,6,10,22","['1', '3', '6', '10', '22']"
51,569e22b1e4b01bff382a2088,polishMiniLotto_3892,2.0,NORMAL,"9,18,24,33,40","['9', '18', '24', '33', '40']"
52,569e22b1e4b01bff382a2088,polishMiniLotto_3892,3.0,NORMAL,"11,12,25,31,34","['11', '12', '25', '31', '34']"
53,56b78794e4b007d7e2c89d22,polishMiniLotto_3892,1.0,NORMAL,"9,25,30,33,41","['9', '25', '30', '33', '41']"
54,56b899f5e4b01b00cba86a80,polishMiniLotto_3892,1.0,NORMAL,"4,12,24,28,38","['4', '12', '24', '28', '38']"
55,56b8b36fe4b09ab9e0b04d3d,polishMiniLotto_3892,1.0,NORMAL,"6,17,23,29,34","['6', '17', '23', '29', '34']"
56,56c9d12de4b0f3e56b9294c0,polishMiniLotto_3892,1.0,NORMAL,"3,5,10,22,40","['3', '5', '10', '22', '40']"
57,56d15bfae4b04fc4c4061813,polishMiniLotto_3892,1.0,NORMAL,"3,7,10,16,26","['3', '7', '10', '16', '26']"
58,56d83131e4b0ee9d2ae34a40,polishMiniLotto_3892,1.0,NORMAL,"8,16,21,26,39","['8', '16', '21', '26', '39']"
59,56dc2af3e4b03b4c82f8d3be,polishMiniLotto_3892,1.0,NORMAL,"3,17,28,39,41","['3', '17', '28', '39', '41']"
60,56dc8f2fe4b04fad9d23612a,polishMiniLotto_3892,1.0,NORMAL,"9,15,25,29,31","['9', '15', '25', '29', '31']"
61,56f1ad63e4b06a4ef9bacca8,polishMiniLotto_3892,1.0,NORMAL,"9,22,29,36,40","['9', '22', '29', '36', '40']"
62,56f5052ee4b0787701e92e0c,polishMiniLotto_3892,1.0,NORMAL,"3,5,9,15,25","['3', '5', '9', '15', '25']"
63,5702c050e4b0755954b2f176,polishMiniLotto_3892,1.0,NORMAL,"12,19,30,33,39","['12', '19', '30', '33', '39']"
64,570b85a3e4b0aa0cae97f7fa,polishMiniLotto_3892,1.0,NORMAL,"3,13,17,25,32","['3', '13', '17', '25', '32']"
65,570b85a3e4b0aa0cae97f7fa,polishMiniLotto_3892,2.0,NORMAL,"12,23,26,33,41","['12', '23', '26', '33', '41']"
66,570e8a1ce4b00519e3c16f1e,polishMiniLotto_3892,1.0,NORMAL,"6,8,21,24,42","['6', '8', '21', '24', '42']"
67,5738651fe4b013ed9821b6cc,polishMiniLotto_3892,1.0,NORMAL,"1,9,14,26,39","['1', '9', '14', '26', '39']"
68,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,1.0,NORMAL,"6,14,16,27,35","['6', '14', '16', '27', '35']"
69,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,2.0,NORMAL,"12,14,30,32,41","['12', '14', '30', '32', '41']"
70,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,3.0,NORMAL,"2,11,14,18,33","['2', '11', '14', '18', '33']"
