,tickets_id,drawing_id,line_id,bet_type,numbers
6350,5ef7a7c2163c15002736d215,polishMiniLotto_3892,7.0,NORMAL,"4,8,11,21,42"
9105,5ef8279cbc5fd30028bfbccf,polishMiniLotto_3892,6.0,NORMAL,"4,8,11,33,42"
9134,5ef828e1b9cdfe002c476dce,polishMiniLotto_3892,6.0,NORMAL,"4,8,11,33,42"
9870,5ef8427da05b6f002c4da46b,polishMiniLotto_3892,12.0,NORMAL,"2,4,11,33,42"
438,5d33952bd22708002cbbb59d,polishMiniLotto_3892,7.0,NORMAL,"9,19,21,33,38"
2346,5ef235e6389629002cfdbe22,polishMiniLotto_3892,1.0,NORMAL,"8,19,21,33,35"
2360,5ef235f2389629002cfdbe41,polishMiniLotto_3892,11.0,NORMAL,"5,19,21,33,35"
2361,5ef235f2389629002cfdbe41,polishMiniLotto_3892,12.0,NORMAL,"3,19,21,33,35"
2627,5ef43eca1e94ac002c127e66,polishMiniLotto_3892,6.0,NORMAL,"4,10,19,21,33"
6312,5ef7a7c1bc5fd30028bfb197,polishMiniLotto_3892,1.0,NORMAL,"1,16,19,21,33"
7228,5ef7b6821aa8bb002cc0cd37,polishMiniLotto_3892,1.0,S0800,"5,8,11,16,17,19,21,33"
7354,5ef7ba5ceb1858002c134d5e,polishMiniLotto_3892,1.0,NORMAL,"8,16,19,21,33"
7358,5ef7ba69d3cf7b002c8c4a53,polishMiniLotto_3892,1.0,NORMAL,"6,19,21,33,36"
7372,5ef7ba73f5328c002de915f8,polishMiniLotto_3892,3.0,NORMAL,"5,8,19,21,33"
7961,5ef7cd8af5328c002de924d6,polishMiniLotto_3892,9.0,NORMAL,"1,16,19,21,33"
11128,5ef85e80eaf7fe002c77edff,polishMiniLotto_3892,2.0,NORMAL,"11,19,21,33,39"
12383,5ef87181bc5fd30028bfd635,polishMiniLotto_3892,6.0,NORMAL,"7,19,21,33,35"
12451,5ef87252a05b6f002c4ddcb5,polishMiniLotto_3892,4.0,NORMAL,"10,19,21,33,34"
13574,5ef88375c5d9eb002705db0c,polishMiniLotto_3892,7.0,NORMAL,"4,9,19,21,33"
16190,5ef8ae04223ea4002c60fc92,polishMiniLotto_3892,4.0,NORMAL,"19,21,33,35,36"
17800,5ef8c2d828be7f002ce1d1b3,polishMiniLotto_3892,10.0,NORMAL,"10,19,21,33,42"
18274,5ef8c869d3cf7b002c8d20d5,polishMiniLotto_3892,10.0,NORMAL,"4,19,21,33,38"
20228,5ef8da3c163c150027370d6b,polishMiniLotto_3892,3.0,NORMAL,"18,19,21,33,34"
20260,5ef8da82baa67b002cb0b446,polishMiniLotto_3892,4.0,NORMAL,"15,19,21,33,39"
20309,5ef8dab628be7f002ce1ea57,polishMiniLotto_3892,3.0,NORMAL,"18,19,21,33,34"
20368,5ef8db20a42719002d710feb,polishMiniLotto_3892,9.0,NORMAL,"15,19,21,33,39"
20442,5ef8dbba163c150027370d96,polishMiniLotto_3892,3.0,NORMAL,"11,13,19,21,33"
21908,5ef8e964311e0b002cfce06d,polishMiniLotto_3892,2.0,NORMAL,"11,17,19,21,33"
3928,5ef7a7a2163c15002736ce66,polishMiniLotto_3892,1.0,NORMAL,"12,16,19,21,42"
9759,5ef83def98953a002c5d52f8,polishMiniLotto_3892,2.0,NORMAL,"6,18,19,21,42"
10009,5ef8455bbc5fd30028bfc049,polishMiniLotto_3892,9.0,NORMAL,"6,18,19,21,42"
12486,5ef872b2a05b6f002c4ddd0b,polishMiniLotto_3892,11.0,NORMAL,"4,9,19,21,42"
1204,5ed7a167a8a175002cba3bbf,polishMiniLotto_3892,2.0,NORMAL,"6,10,19,33,42"
1547,5ee855b9353c30002c7f4b65,polishMiniLotto_3892,1.0,NORMAL,"9,11,19,33,42"
7553,5ef7bfcffd324f002ca878b1,polishMiniLotto_3892,10.0,NORMAL,"9,11,19,33,42"
8787,5ef80b98163c15002736db93,polishMiniLotto_3892,1.0,NORMAL,"15,18,19,33,42"
18777,5ef8cd3af5328c002de9f768,polishMiniLotto_3892,9.0,NORMAL,"6,15,19,33,42"
19089,5ef8d0757c61e1002c1ed7be,polishMiniLotto_3892,1.0,NORMAL,"6,15,19,33,42"
21477,5ef8e299fd324f002ca96620,polishMiniLotto_3892,2.0,NORMAL,"3,9,19,33,42"
3269,5ef78b461a6404002df96d65,polishMiniLotto_3892,2.0,NORMAL,"9,14,21,33,42"
9151,5ef828e2b9cdfe002c476dd0,polishMiniLotto_3892,11.0,NORMAL,"6,10,21,33,42"
13312,5ef88032d4b758002c5ad937,polishMiniLotto_3892,3.0,NORMAL,"19,20,21,33,42"
13525,5ef882c51aa8bb002cc167c3,polishMiniLotto_3892,2.0,NORMAL,"5,17,21,33,42"
15910,5ef8a8cd163c150027370159,polishMiniLotto_3892,1.0,NORMAL,"10,13,21,33,42"
17800,5ef8c2d828be7f002ce1d1b3,polishMiniLotto_3892,10.0,NORMAL,"10,19,21,33,42"
22232,5ef8f1a7b546c5002c36940a,polishMiniLotto_3892,2.0,NORMAL,"2,11,21,33,42"
